2363,2094
2254,1053
2264,3346
327,2509
937,2962
535,424
2231,1766
639,3762
785,3318
2287,2937
2443,76
1704,3712
891,3514
778,4248
2122,342
2164,3557
360,1498
2446,647
2194,4244
557,2502
942,3594
2182,1511
908,2955
419,647
1012,3432
485,1759
2192,1875
710,4305
2020,4495
2393,389
2358,2109
1096,321
2342,399
219,763
1981,2408
1439,4274
970,3278
1066,4341
1438,2915
1015,786
332,2744
2195,4569
690,2304
1019,3663
2325,1907
250,1399
1598,3392
2358,569
498,3374
2001,432
914,3576
1439,2514
658,1136
2092,1875
547,3862
878,3406
2339,1664
2239,1067
620,3257
393,4325
2563,769
415,3613
379,3374
526,1086
488,2295
2219,1929
2159,2751
394,1369
806,59
2208,2104
407,1654
764,3267
1024,204
561,3665
1171,1578
654,2915
718,2546
1003,1388
389,1418
2233,3366
1857,4229
2133,3537
2146,3942
503,2847
2281,4698
2363,1553
1158,1879
697,3692
878,83
2117,3983
1695,4428
508,2895
2248,407
798,3421
2326,212
2612,4312
2109,3104
2268,4171
2146,3849
2229,4054
